降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
10.5,25.2,19.9,8,10,10.0,26.2
4.5,24.5,19.0,3,4,9.0,21.9
14.5,23.7,19.2,1,4,10.0,23.0
22.5,20.8,17.9,15,10,10.0,22.2
0.0,24.8,17.7,3,4,10.0,19.3
0.0,21.8,18.5,2,4,10.0,18.2
0.0,24.8,18.5,2,4,9.3,18.5
2.0,23.6,17.9,7,4,10.0,19.5
12.5,21.9,18.2,15,10,10.0,23.6
0.5,27.3,20.0,8,4,10.0,26.0
39.0,22.5,20.2,2,10,10.0,25.2
7.0,25.0,19.4,2,10,10.0,23.4
33.5,22.1,19.0,1,10,10.0,24.1
0.5,28.7,20.3,7,4,8.5,26.2
9.5,29.7,22.2,8,4,10.0,29.0
3.5,31.4,23.0,8,4,9.5,30.7
0.0,29.5,24.4,7,4,10.0,30.9
0.0,28.2,22.7,3,4,10.0,29.6
0.5,24.0,21.6,2,4,10.0,26.9
4.0,29.3,22.4,1,4,9.8,29.2
6.0,31.6,23.7,7,4,7.8,30.2
0.0,32.4,24.4,7,2,7.5,30.7
0.5,33.1,25.6,8,2,4.8,29.3
4.0,31.4,25.1,7,2,8.0,32.4
15.0,32.3,25.0,7,2,8.3,32.5
0.0,33.7,25.3,7,2,5.5,32.8
0,33.6,26.0,7,2,4.3,33.2
0,34.6,26.5,7,2,7.8,34.0
0,35.0,26.3,8,2,1.8,34.5
0,35.1,27.1,8,2,2.8,34.0
0,33.7,25.7,7,2,1.0,31.8
0,34.3,25.3,7,2,3.0,30.6
0,34.9,25.1,7,2,2.8,31.3
0,35.0,27.5,8,2,7.5,32.5
0,35.6,26.7,7,3,6.5,31.8
0,35.5,26.0,7,2,4.3,32.4
0,35.6,26.2,7,2,6.5,31.0
0,34.4,25.7,8,2,4.3,31.1
0.0,35.6,25.3,6,2,6.0,30.7
0.5,33.2,25.6,6,3,10.0,31.9
0.0,35.5,26.9,6,4,6.8,33.5
8.5,32.4,27.1,7,4,9.0,34.2
20.0,32.6,25.9,7,4,8.5,33.6
0.0,31.6,28.0,8,4,9.0,31.6
0,35.5,27.3,7,2,1.0,31.3
0,35.2,26.5,3,2,5.8,30.6
0.5,32.2,25.7,3,4,9.8,31.6
13.0,31.1,24.1,4,4,9.3,31.7
3.0,31.4,23.6,6,4,9.3,29.3
20.0,29.5,23.2,1,4,10.0,30.4
4.5,28.5,24.0,8,10,10.0,31.9
0.0,31.4,24.0,8,4,7.8,28.5
15.0,31.1,20.7,7,2,6.5,25.4
0.0,28.5,22.9,6,4,7.5,24.3
6.0,29.4,22.8,2,4,10.0,27.1
7.0,28.1,23.2,9,10,9.8,29.7
0.0,34.6,24.7,9,2,7.8,29.7
12.0,28.0,24.2,9,10,8.3,29.7
0.0,31.7,24.3,7,4,9.0,29.3
0.0,32.1,25.0,6,4,10.0,28.3
0,31.8,24.1,7,2,6.8,30.4
1.5,28.5,22.6,2,4,8.5,29.0
0.0,26.5,22.5,2,4,10.0,24.6
0,29.6,23.0,1,4,10.0,26.6
0,32.9,23.1,7,2,3.8,29.4
0.0,33.5,24.8,7,2,5.5,30.4
8.5,33.3,25.3,6,2,6.3,32.6
119.0,36.2,24.5,13,3,8.0,31.1
0.5,35.6,25.4,15,2,7.5,30.7
7.5,32.3,24.3,14,2,7.5,32.0
0,28.7,22.7,3,2,7.3,22.2
0,23.6,20.3,2,4,10.0,18.3
0.0,25.1,19.5,15,4,10.0,21.5
0.5,31.1,20.3,1,4,7.0,23.7
28.5,25.3,21.4,15,10,7.5,27.7
0,31.1,22.3,3,2,5.5,25.9
9.5,24.8,18.4,1,10,9.3,22.4
0.0,27.7,17.1,1,2,7.8,19.4
0.0,27.3,19.7,2,3,9.5,17.9
0.0,24.1,19.9,1,4,10.0,19.6
17.0,28.5,18.4,15,4,9.5,21.6
3.5,30.7,20.4,8,4,9.0,28.3
