降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
1.0,28.9,22.0,7,4,10.0,25.3
6.5,27.8,23.0,7,4,10.0,26.9
24.5,29.6,22.7,14,4,9.0,26.5
0.5,27.0,21.0,7,4,9.8,23.7
4.5,28.7,20.3,9,4,10.0,23.8
0.5,31.2,22.2,11,4,10.0,23.7
0.0,29.3,22.8,7,4,9.8,22.7
0.0,26.5,22.2,7,4,10.0,21.9
0.0,27.7,21.6,8,4,9.8,21.0
24.5,22.5,19.8,6,10,10.0,22.8
6.5,30.3,19.8,14,4,9.5,23.8
15.0,27.6,20.7,15,10,9.8,23.0
13.0,27.1,20.4,15,4,10.0,25.8
13.5,27.7,22.2,7,4,10.0,27.1
6.5,26.9,22.4,9,4,10.0,26.6
24.0,30.3,22.1,7,2,9.0,27.0
27.5,28.6,23.1,6,4,10.0,28.6
14.0,28.1,22.3,7,10,10.0,29.1
1.0,28.4,23.8,15,4,10.0,29.3
0.0,28.7,25.0,6,4,10.0,29.4
36.0,26.7,23.7,6,10,10.0,30.3
0.0,33.2,23.0,13,2,6.8,27.9
0,34.8,24.6,6,2,6.0,26.9
0.0,33.8,25.4,7,3,7.3,29.1
12.0,33.7,23.9,6,2,8.0,27.6
42.0,26.5,23.9,8,0,9.8,30.5
0,34.4,24.2,15,4,7.3,29.8
0,35.3,26.0,7,2,7.3,30.7
0.0,35.8,27.1,7,2,7.8,31.0
0,36.8,27.2,7,2,4.5,30.4
0,36.8,27.6,6,2,3.0,30.6
0,36.4,27.6,7,2,5.0,31.7
0,34.8,26.7,6,2,5.3,29.3
0.0,34.7,26.8,8,2,8.5,29.0
0.0,37.0,27.3,7,2,4.5,29.1
0.0,34.8,27.2,6,4,8.8,30.2
0,35.9,26.7,7,2,5.3,29.7
0,36.3,26.4,7,2,5.3,29.2
0,36.6,26.7,7,2,7.5,29.6
0,37.3,26.3,8,2,6.5,28.7
0,35.6,27.1,7,2,6.8,29.5
0,36.1,26.3,7,3,6.0,28.6
0.0,38.0,28.0,7,2,4.3,29.4
0.5,34.8,28.1,6,4,9.0,30.9
31.5,32.9,26.5,6,4,10.0,32.0
56.5,34.6,26.1,7,4,9.5,32.4
0.0,35.6,26.5,6,4,4.8,29.6
0,36.1,26.3,7,2,4.0,28.5
1.0,34.7,26.0,7,2,6.5,29.0
0.0,31.6,26.1,15,4,10.0,31.1
0.0,34.3,26.2,0,2,9.0,30.4
0.5,35.1,26.4,0,4,9.5,30.0
26.5,27.8,21.8,7,10,10.0,27.9
1.5,31.8,22.6,14,2,9.3,24.6
0,32.0,23.9,15,2,4.8,21.4
0,32.7,21.8,15,2,2.8,20.3
27.5,28.7,22.2,7,4,8.5,25.1
15.5,27.2,23.1,6,10,10.0,29.2
5.0,33.6,24.0,10,4,9.5,28.4
36.5,27.6,24.2,7,10,10.0,30.6
1.5,30.5,22.9,13,4,9.0,26.1
0.0,31.9,23.3,15,4,9.0,24.6
0,33.5,23.3,0,2,7.8,26.9
0,33.5,25.3,7,2,7.0,28.7
13.5,31.5,24.6,6,4,10.0,29.8
14.0,29.7,24.1,7,4,9.3,29.2
1.0,32.9,24.0,8,2,7.5,28.1
0,34.3,24.0,7,2,5.3,27.1
0,35.2,25.1,14,2,5.5,27.5
0,36.0,28.4,13,3,6.8,26.7
0,36.6,27.1,14,2,4.0,28.9
0.0,35.4,26.9,14,4,8.8,29.7
0,32.8,24.5,14,2,6.8,22.2
0.0,26.3,22.7,7,4,9.8,21.0
0,30.1,21.7,8,4,6.3,21.1
0,33.7,22.9,15,1,1.8,23.0
0,34.9,25.3,15,1,3.3,22.7
0.0,33.0,24.8,15,2,8.3,23.4
2.5,27.0,22.4,15,4,8.0,23.4
0,29.7,20.0,15,2,3.8,14.9
